kontras_glcm,korelasi_glcm,energi_glcm,homogenitas_glcm,entropi_glcm,variance_glcm,skewness_glcm,std_dev_glcm,mean_glcm,mean_lbp,std_dev_lbp,energi_lbp,entropi_lbp,variance_lbp,skewness_lbp,kontras_lbp,korelasi_lbp,homogenitas_lbp,usia_simpan,kelas_kualitas,filename
269.72251520872527,0.9192901899123069,0.019261759525029825,0.11657412025520021,145.8163717275577,1709.444403499427,-1.2619624368234101,41.3454278427425,115.80779655612245,5.194953762755102,3.2130980019575417,0.12037747028419149,3.187774660096039,10.323998770183547,-0.3239913062208664,10.323998770183547,0.5359864395493978,0.2164120572735659,0 minggu,Berkualitas,0_18.JPG
269.70010133921295,0.9192961175467649,0.01925920758282954,0.11654184358804894,145.81637852422236,1709.4223416382847,-1.2620290474745648,41.34516104259705,115.80666055484694,5.194176498724489,3.2127325686238124,0.1203476231776392,3.1879934963617425,10.32165055749616,-0.3233987132637105,10.32165055749616,0.535779495788085,0.21649272766106506,0 minggu,Berkualitas,0_aug_0_0_18.JPG
269.4514277334396,0.9193564445461182,0.019293064595202126,0.11636482819925348,145.79622572195962,1709.1296345648393,-1.262245176978704,41.34162109260883,115.80759725765306,5.1860849808673475,3.207990873973559,0.11969091136571716,3.1922173345265605,10.291205447497639,-0.3196730664513699,10.291205447497639,0.5382921287526614,0.21695406741325932,0 minggu,Berkualitas,0_aug_1_0_18.JPG
546.7167263106471,0.8499884167612387,0.014064205844568684,0.09108364728674061,155.1150517935227,1859.135180324378,-0.9694958961778682,43.11768987694468,114.83087531887755,5.337472098214286,3.355060218371085,0.13562398908139267,3.082124940289604,11.256429068896233,-0.43783754070403813,11.256429068896233,0.48850846976231976,0.19201925236276696,0 minggu,Berkualitas,0_16.JPG
546.7020697067668,0.8499948951680468,0.01406488380208981,0.09104863073895088,155.10959582423504,1859.1679701163637,-0.9695021161842576,43.11807011122325,114.8305963010204,5.339863679846938,3.3551455181934435,0.1357549749181351,3.0812405094694046,11.25700144825355,-0.43892223998689606,11.25700144825355,0.48900532382731426,0.19189939342881485,0 minggu,Berkualitas,0_aug_0_0_16.JPG
546.6190451309695,0.8500022870369605,0.014043829078628558,0.09025175354415826,155.14665934657492,1858.9837179696349,-0.9695011589084114,43.11593345817338,114.82948022959184,5.338887117346939,3.3558708986689307,0.13574224231343426,3.0811018082570887,11.261869488533016,-0.43754589008505673,11.261869488533016,0.4885237176353139,0.19110128244513253,0 minggu,Berkualitas,0_aug_1_0_16.JPG
587.6143139059643,0.8386663374490876,0.01369379911368039,0.08857892302038504,155.83310135976538,1855.9640423327075,-0.9132031431232668,43.08090113185549,115.1748046875,5.34554368622449,3.356753882434177,0.13612472966331982,3.0784771572755614,11.26779662723692,-0.4431570293439083,11.26779662723692,0.4897864586321709,0.19006230497977344,0 minggu,Berkualitas,0_19.JPG
587.7268358036247,0.8386390135838871,0.01369648487119436,0.08858897547272927,155.83989293819732,1856.0058262883397,-0.9131047133314676,43.08138607668444,115.17494419642857,5.345364317602041,3.357368977888564,0.13616951621110018,3.0782516144469536,11.2719264536885,-0.44311586007050274,11.2719264536885,0.4893792920234547,0.19014906237059254,0 minggu,Berkualitas,0_aug_0_0_19.JPG
588.6571350600094,0.8384219869763073,0.013695344483528951,0.08883039187249409,155.86200633670433,1856.398511599819,-0.9127844102536646,43.08594331797575,115.17566167091837,5.340700733418368,3.3568184712266755,0.13597750792846935,3.079136582842874,11.268230248768594,-0.44056084841006893,11.268230248768594,0.48797650618668137,0.1898174360211301,0 minggu,Berkualitas,0_aug_1_0_19.JPG
297.36445413586586,0.9256010435410214,0.017254482571675233,0.10759576505414782,149.78148586838932,2037.950852707891,-1.1104939365056947,45.14366902133555,119.47905373086735,5.23796237244898,3.279317121642622,0.12505234206333501,3.1581646381985644,10.753920784298453,-0.361663671067943,10.753920784298453,0.5133139626491567,0.2055774162399389,0 minggu,Berkualitas,0_20.JPG
297.3740808563148,0.9255963339878536,0.0172573920837193,0.1076077870695178,149.78103053057163,2037.8904585669509,-1.1104875982580478,45.14300010596273,119.47889429209184,5.237583705357142,3.279742622203418,0.12508488932732292,3.1579116741847093,10.75671166789775,-0.3614927685038746,10.75671166789775,0.5127176226139609,0.2054154550889355,0 minggu,Berkualitas,0_aug_0_0_20.JPG
297.3536986142072,0.925608331081552,0.017245940960976817,0.1079139616681959,149.78503201796042,2038.0601645278612,-1.110598914386859,45.144879715509944,119.47945232780613,5.243423150510203,3.279013540670079,0.1252098067608142,3.157867237324541,10.751929799897727,-0.36245740419992223,10.751929799897727,0.5154948708716156,0.20478999775672044,0 minggu,Berkualitas,0_aug_1_0_20.JPG
252.44441985184156,0.9303206475445799,0.017198057280837998,0.10014883616711422,148.40618915806553,1853.13223383378,-1.225002812817786,43.04802241490055,118.24916294642857,5.218191964285714,3.3097831151409545,0.12718183206846595,3.142593019840106,10.954664269272161,-0.3599487662933333,10.954664269272161,0.47959451195645547,0.20283460158615726,2 minggu,Berkualitas,2_32.JPG
252.46490962068435,0.9303157152736538,0.017193497934842004,0.10011147649080293,148.40560443811438,1853.1568353244636,-1.2249663324539062,43.04830815867754,118.24838568239795,5.218690210459184,3.3098917349675445,0.12722502267147193,3.142290060759013,10.955383297206462,-0.3601484844187303,10.955383297206462,0.4795463943099619,0.20283073791310735,2 minggu,Berkualitas,2_aug_0_2_32.JPG
